INCIDENT_TYPE,IncidentRole,FILENUM,CASENUM,Time Occurred,Date Occurred,OCCURRED_DAY,STREET_N,STREET,CITY,STATE,ZIPCODE,PRECINCT,Incident Precinct,UoF_1,UoF_1_Zones,UoF_1_Effective,UoF_1_Deployed_Only,UoF_1_Arc_Display_Only,UoF_2,UoF_2_Zones,UoF_2_Effective,UoF_2_Deployed_Only,UoF_2_Arc_Display_Only,UoF_3,UoF_3_Zones,UoF_3_Effective,UoF_3_Deployed_Only,UoF_3_Arc_Display_Only,UoF_4,UoF_4_Zones,UoF_4_Effective,UoF_4_Deployed_Only,UoF_4_Arc_Display_Only,UoF_5,UoF_5_Zones,UoF_5_Effective,UoF_5_Deployed_Only,UoF_5_Arc_Display_Only,UoF_6,UoF_6_Zones,UoF_6_Effective,UoF_6_Deployed_Only,UoF_6_Arc_Display_Only,UoF_7,UoF_7_Zones,UoF_7_Effective,UoF_7_Deployed_Only,UoF_7_Arc_Display_Only,UoF_8,UoF_8_Zones,UoF_8_Effective,UoF_8_Deployed_Only,UoF_8_Arc_Display_Only,UoF_9,UoF_9_Zones,UoF_9_Effective,UoF_9_Deployed_Only,UoF_9_Arc_Display_Only,UoF_10,UoF_10_Zones,UoF_10_Effective,UoF_10_Deployed_Only,UoF_10_Arc_Display_Only,CIT_INFL_ASSMT,IN_BLUETEAM,STATUS,LL Used,40MM,BB,BB - OC,OC Can,OC Spray,CS Can,CS,Chem Other,FN303,BlueNose,Sting,NFDD,PB Launch,Baton,Orange,Other Wpn,Total
Level 2 - Use of Force,Officer,2020UOF-0765,2020-182483,19:35:00,6/6/20,Saturday,,11 Ave and E Pine St,Seattle,WA,98122,E1 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,"1, 1, 1",Yes,No,,Personal Weapons – Push,"20, 20",Yes,No,,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0809,2020-182483,,6/6/20,Saturday,,1100 E Pine St,Seattle,WA,,,Demonstration,Balls - Blast,,No,Yes,,Balls - OC,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0883,2020-182483,19:30:00,6/6/20,Saturday,1100,E. Pine,Seattle,WA,98122,E1 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,Balls - Blast,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Suspended,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0923,2020-182483,19:30:00,6/6/20,Saturday,,11 Ave E / E Pine St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Balls - Blast,,Yes,Yes,,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Suspended,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0976,2020-182483,19:00:00,6/6/20,Saturday,1100,Pine,Seattle,WA,98180,E2 | EDWARD | EAST,Demonstration,Balls - Blast,,No,Yes,,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impaired by Alcohol or Drugs,Yes,Suspended,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-1007,2020-182483,19:28:00,6/6/20,Saturday,1000,E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - Blast,26,Yes,No,,Balls - Blast,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Suspended,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-1252,2020-182483,19:30:00,6/6/20,Saturday,1100,east pine st,Seattle,WA,,M1 | MARY | WEST,Demonstration,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Suspended,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0727,2020-182483,19:30:00,6/6/20,Saturday,1519,12 Ave,Seattle,WA,98122,,Demonstration,Balls - Blast,,Yes,Yes,,Balls - OC,,Yes,Yes,,Blue Nose Device,10,Yes,No,,OrangeNose Round,10,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Suspended,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4
Level 2 - Use of Force,Officer,2020UOF-1086,2020-182483,19:38:00,6/6/20,Saturday,1600,11 Av,Seattle,WA,98122,,Demonstration,Chemical Agent – OC Spray,"1, 1, 3, 5, 7",Yes,No,,Canister - OC,,Yes,Yes,,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Suspended,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
Level 2 - Use of Force,Officer,2020UOF-1253,2020-182483,19:30:00,6/6/20,Saturday,,11 Av / E Pine St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Balls - OC,,Yes,Yes,,Balls - OC,,Yes,Yes,,Balls - OC,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Suspended,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Level 2 - Use of Force,Officer,2020UOF-0694,2020-182483,19:30:00,6/6/20,Saturday,1519,12 AV,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Suspended,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Level 2 - Use of Force,Officer,2020UOF-0803,2020-182483,19:40:00,6/6/20,Saturday,1100,E Pine ST,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Blue Nose Device,12,Yes,No,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,No,Suspended,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Level 2 - Use of Force,Officer,2020UOF-0763,2020-182483,19:37:00,6/6/20,Saturday,1100,E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - Blast,26,Yes,No,,Balls - Blast,26,Yes,No,,Balls - Blast,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Suspended,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Level 2 - Use of Force,Officer,2020UOF-0810,2020-182483,12:00:00,6/6/20,Saturday,1519,12th Ave,Seattle,WA,98122,,Demonstration,Balls - Blast,26,Yes,No,,Balls - OC,26,Yes,No,,Blue Nose Device,10,Yes,No,,Personal Weapons – Punch/Elbow,1,Yes,No,,Personal Weapons – Push,7,Yes,No,,Verbal Commands,26,No,No,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
Level 2 - Use of Force,Officer,2020UOF-0806,2020-182483,19:45:00,6/6/20,Saturday,1000,E Pine ST,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - OC,26,Yes,No,,Balls - Blast,26,Yes,No,,Balls - OC,26,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impaired by Alcohol or Drugs,Yes,Suspended,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Level 2 - Use of Force,Officer,2020UOF-0861,2020-182483,19:00:00,6/6/20,Saturday,1519,12th av,seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Suspended,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Level 2 - Use of Force,Officer,2020UOF-1049,2020-182483,19:41:00,6/6/20,Saturday,1100,Pine St,Seattle,WA,98101,E1 | EDWARD | EAST,Demonstration,Balls - OC,26,No,No,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Suspended,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Level 2 - Use of Force,Officer,2020UOF-0695,2020-182483,19:30:00,6/6/20,Saturday,1100,E Pine St,Seattle,,,E2 | EDWARD | EAST,Demonstration,FN303,22,Yes,No,,FN303,22,Yes,No,,FN303,26,No,No,,FN303,26,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
Level 2 - Use of Force,Officer,2020UOF-0729,2020-182483,19:37:00,6/6/20,Saturday,,11 Av / E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - OC,,Yes,Yes,,Verbal Commands,,No,Yes,,Balls - OC,,No,Yes,,Balls - OC,,Yes,Yes,,Balls - OC,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Suspended,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Level 2 - Use of Force,Officer,2020UOF-0808,2020-182483,19:38:00,6/6/20,Saturday,1100,E Pine ST,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - OC,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Chemical Agent – OC Spray,,Yes,Yes,,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Suspended,4,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4
Level 2 - Use of Force,Officer,2020UOF-0732,2020-182483,18:30:00,6/6/20,Saturday,11th,Pine Street,Seattle,WA,,,Demonstration,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Suspended,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Level 2 - Use of Force,Officer,2020UOF-0884,2020-182483,19:30:00,6/6/20,Saturday,,Pine St / 11 Ave,Seattle,WA,98122,E1 | EDWARD | EAST,Demonstration,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Chemical Agent – OC Spray,"26, 26, 26, 1, 1",Yes,No,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Suspended,6,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
Level 2 - Use of Force,Officer,2020UOF-1110,2020-182483,19:37:00,6/6/20,Saturday,,11 Av/E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - OC,,Yes,Yes,,Chemical Agent – OC Spray,1,No,No,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,Yes,Suspended,7,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7
Level 2 - Use of Force,Officer,2020UOF-0914,2020-182483,19:37:00,6/6/20,Saturday,1100,Pine St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Balls - Blast,,No,Yes,,Balls - OC,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,Yes,Suspended,8,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Level 2 - Use of Force,Officer,2020UOF-0728,2020-182483,19:30:00,6/6/20,Saturday,,11 Av  / E Pine St,Seattle,WA,,,Demonstration,Verbal Commands,,No,Yes,,Balls - Blast,,No,Yes,,Balls - Blast,,No,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,Balls - Blast,,Yes,Yes,,,Yes,Suspended,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Level 2 - Use of Force,Officer,2020UOF-0859,2020-182483,19:39:00,6/6/20,Saturday,900,E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,1,No,No,,Chemical Agent – OC Spray,1,Yes,No,,Chemical Agent – OC Spray,1,Yes,No,,Balls - OC,26,Yes,No,,Balls - OC,26,No,No,,Balls - OC,14,No,No,,Chemical Agent – OC Spray,14,No,No,,Chemical Agent – OC Spray,1,Yes,No,,Chemical Agent – OC Spray,1,No,No,,,,,,,Unimpaired,Yes,Suspended,9,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,9
Level 2 - Use of Force,Officer,2020UOF-0862,2020-182830,19:28:00,6/6/20,Saturday,1500 blk,11th Ave E,Seattle,WA,98102,E2 | EDWARD | EAST,Demonstration,Control Hold – Restraint,"4, 19",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-0943,2020-182830,19:40:00,6/6/20,Saturday,1500,11 th Ave.,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Control Hold – Team Takedown,"3, 4, 19, 19",Yes,No,,Control Hold – Restraint,"19, 19, 3, 4",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-0903,2020-182835,19:30:00,6/6/20,Saturday,1519,12th AV,Seattle,WA,98122,,Demonstration,Chemical Agent – OC Spray,"1, 1, 1, 1",Yes,No,,Personal Weapons – Feet/Leg Kick/Knee,"21, 21, 21",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0696,2020-182965,0:55:00,6/7/20,Sunday,1400,E Pike St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Control Hold – Restraint,20,Yes,No,,Control Hold – Restraint,6,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-0780,2020-182965,0:45:00,6/7/20,Sunday,1515,12 AV,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Control Hold – Restraint,"21, 18, 19, 25",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-1289,2020-183044,16:12:00,6/7/20,Sunday,,11 Av / Pine St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Verbal Commands,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-1412,2020-183044,19:30:00,6/7/20,Sunday,,1100 E Pine St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Verbal Commands,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-1667,2020-183044,21:00:00,6/7/20,Sunday,,1100 E Pine St,Seattle,WA,,E1 | EDWARD | EAST,Demonstration,Verbal Commands,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 - Use of Force,Officer,2020UOF-1254,2020-183044,18:28:00,6/7/20,Sunday,13th Ave,E Pine St,Seattle,WA,98122,C1 | CHARLIE | EAST,Demonstration,Chemical Agent – OC Spray,"2, 1",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0735,2020-183044,2:30:00,6/8/20,Monday,1000,E Pine st,Seattle,WA,,E1 | EDWARD | EAST,Demonstration,Balls - Blast,13,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0770,2020-183044,0:30:00,6/8/20,Monday,1000,E PINE ST,SEATTLE,WA,,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0788,2020-183044,0:15:00,6/8/20,Monday,,1000 block E Pine ST,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,"1, 1, 1, 1",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0790,2020-183044,0:20:00,6/8/20,Monday,11 av,E Pine st,Seattle,WA,,E1 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0791,2020-183044,11:00:00,6/7/20,Sunday,1519,12th av,seattle,WA,,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0864,2020-183044,23:28:00,6/7/20,Sunday,1100,blk of E. Pine St,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,26,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0866,2020-183044,0:30:00,6/8/20,Monday,900,E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - Blast,26,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0904,2020-183044,19:35:00,6/7/20,Sunday,1300,E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0905,2020-183044,16:00:00,6/7/20,Sunday,1200,E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0924,2020-183044,0:08:00,6/8/20,Monday,1100,e pine st,SEATTLE,WA,,E1 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,26,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impaired by Alcohol or Drugs,Yes,Active,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0944,2020-183044,0:23:00,6/8/20,Monday,1500,Broadway,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - Blast,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0945,2020-183044,0:00:00,6/7/20,Sunday,1100,E Pine St,Seattle,WA,98122,E1 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0963,2020-183044,0:10:00,6/8/20,Monday,1100,E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - OC,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0978,2020-183044,0:04:00,6/7/20,Sunday,1100,E. Pine St,Seattle,WA,98102,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0979,2020-183044,0:05:00,6/8/20,Monday,1000,Pine,seattle,WA,98121,E2 | EDWARD | EAST,Demonstration,Balls - OC,26,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-1013,2020-183044,19:25:00,6/7/20,Sunday,1300 E,Pine St,Seattle,WA,98102,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-1016,2020-183044,19:50:00,6/6/20,Saturday,10th,E PIne St,seattle,WA,98121,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-1017,2020-183044,19:00:00,6/7/20,Sunday,,13 Ave / E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-1106,2020-183044,23:59:00,6/8/20,Monday,1519,12th Avenue,seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-1255,2020-183044,23:59:00,6/7/20,Sunday,11th Ave,E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Balls - Blast,7,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-1256,2020-183044,0:04:00,6/7/20,Sunday,1100,E Pine St,seattle,WA,,E1 | EDWARD | EAST,Demonstration,Balls - Blast,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Initial,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-1314,2020-183044,23:50:00,6/7/20,Sunday,,E Pine St / 11th Ave,Seattle,WA,,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Impaired by Alcohol or Drugs,Yes,Initial,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Level 2 - Use of Force,Officer,2020UOF-0796,2020-183044,0:33:00,6/8/20,Monday,,1100 Blk Pine St,Seattle,WA,98011,E1 | EDWARD | EAST,Demonstration,Balls - Blast,26,Yes,No,,Blue Nose Device,26,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Level 2 - Use of Force,Officer,2020UOF-0863,2020-183044,0:10:00,6/8/20,Monday,,11th Av / E Pine St,Seattle,WA,98122,E2 | EDWARD | EAST,Demonstration,Chemical Agent – OC Spray,1,Yes,No,,Chemical Agent – OC Spray,26,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unimpaired,Yes,Initial,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
